Deserialize time: 0.1667s, Aggregation+Serialization time: 0.1973s 
Deserialize time: 0.1255s, Aggregation+Serialization time: 0.1801s 
Deserialize time: 0.1557s, Aggregation+Serialization time: 0.1881s 
Deserialize time: 0.1545s, Aggregation+Serialization time: 0.1779s 
Deserialize time: 0.1438s, Aggregation+Serialization time: 0.1688s 
Deserialize time: 0.1260s, Aggregation+Serialization time: 0.1457s 
Deserialize time: 0.1308s, Aggregation+Serialization time: 0.1551s 
Deserialize time: 0.1466s, Aggregation+Serialization time: 0.1976s 
Deserialize time: 0.1162s, Aggregation+Serialization time: 0.1750s 
Deserialize time: 0.1314s, Aggregation+Serialization time: 0.1659s 
Deserialize time: 0.1343s, Aggregation+Serialization time: 0.1655s 
Deserialize time: 0.1471s, Aggregation+Serialization time: 0.1944s 
Deserialize time: 0.1214s, Aggregation+Serialization time: 0.1740s 
Deserialize time: 0.1841s, Aggregation+Serialization time: 0.2589s 
Deserialize time: 0.1350s, Aggregation+Serialization time: 0.1876s 
Deserialize time: 0.1251s, Aggregation+Serialization time: 0.1731s 
Deserialize time: 0.1142s, Aggregation+Serialization time: 0.1452s 
Deserialize time: 0.1274s, Aggregation+Serialization time: 0.1597s 
Deserialize time: 0.1215s, Aggregation+Serialization time: 0.1587s 
Deserialize time: 0.1384s, Aggregation+Serialization time: 0.1656s 
Deserialize time: 0.1419s, Aggregation+Serialization time: 0.1698s 
Deserialize time: 0.1395s, Aggregation+Serialization time: 0.1595s 
